epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,4288.16,1.03758,1.90218,0.82097,0.53998,0.1941,0.19149,0.14676,0.91106,1.46553,0.81015,1.21324e-05,1.21324e-05,1.21324e-05
40,4387.51,1.03436,1.90461,0.82041,0.52354,0.18903,0.19416,0.14875,0.90805,1.44753,0.81011,1.11622e-05,1.11622e-05,1.11622e-05
41,4503.74,0.98265,1.82926,0.8194,0.54122,0.18727,0.19643,0.15086,0.91773,1.4537,0.81036,1.0192e-05,1.0192e-05,1.0192e-05
42,4595.93,0.96985,1.79405,0.82115,0.53709,0.18762,0.19429,0.14855,0.91434,1.44555,0.81057,9.2218e-06,9.2218e-06,9.2218e-06
43,4687.83,0.97281,1.79101,0.81985,0.55211,0.18793,0.19953,0.15259,0.91481,1.44386,0.81017,8.2516e-06,8.2516e-06,8.2516e-06
44,4783.51,0.96982,1.7724,0.82002,0.52755,0.18848,0.20123,0.15509,0.90963,1.43165,0.80987,7.2814e-06,7.2814e-06,7.2814e-06
45,4876.28,0.96448,1.75876,0.81963,0.5668,0.19173,0.20024,0.15358,0.90771,1.43355,0.8095,6.3112e-06,6.3112e-06,6.3112e-06
46,4975.52,0.96662,1.75608,0.81972,0.55935,0.18989,0.2019,0.15473,0.90739,1.42918,0.80897,5.341e-06,5.341e-06,5.341e-06
47,5076.13,0.96001,1.72566,0.81838,0.56049,0.1888,0.20111,0.15439,0.90977,1.42589,0.80949,4.3708e-06,4.3708e-06,4.3708e-06
48,5170.99,0.97018,1.74299,0.81669,0.56944,0.19005,0.20232,0.15525,0.91079,1.42384,0.80991,3.4006e-06,3.4006e-06,3.4006e-06
49,5270.11,0.95488,1.72205,0.81722,0.556,0.19091,0.20307,0.15635,0.90583,1.42143,0.80979,2.4304e-06,2.4304e-06,2.4304e-06
50,5367.37,0.95895,1.73891,0.81571,0.54579,0.19148,0.20432,0.1571,0.90613,1.41935,0.80986,1.4602e-06,1.4602e-06,1.4602e-06
