epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5813.61,1.01961,1.37862,0.91368,0.60328,0.39236,0.46941,0.3523,0.8928,1.09655,0.91322,0.00844039,0.00844039,0.00844039
43,5946.8,1.02612,1.36932,0.91234,0.61743,0.43399,0.49032,0.3734,0.89669,1.09752,0.91617,0.00836841,0.00836841,0.00836841
44,6079.77,1.0132,1.35626,0.90857,0.4776,0.50314,0.49417,0.37423,0.88766,1.08333,0.9137,0.00829517,0.00829517,0.00829517
45,6214.52,1.0225,1.36488,0.91423,0.55359,0.42479,0.48163,0.36216,0.8904,1.0878,0.91432,0.0082207,0.0082207,0.0082207
46,6348.53,1.02144,1.36003,0.9095,0.69247,0.40822,0.47885,0.36292,0.88799,1.07687,0.91398,0.00814503,0.00814503,0.00814503
47,6480.85,1.01368,1.34575,0.91061,0.51247,0.47328,0.47364,0.35591,0.88879,1.06376,0.91236,0.00806821,0.00806821,0.00806821
48,6614.83,1.01468,1.34124,0.91178,0.59303,0.44245,0.49073,0.37324,0.88177,1.06167,0.91159,0.00799026,0.00799026,0.00799026
49,6765.05,1.01554,1.32604,0.90767,0.49489,0.486,0.48819,0.37076,0.88338,1.05492,0.91029,0.00791122,0.00791122,0.00791122
50,6908.48,1.00754,1.31907,0.90969,0.54052,0.44565,0.4968,0.3786,0.88164,1.05787,0.91024,0.00783112,0.00783112,0.00783112
51,7043.75,1.00292,1.31104,0.90647,0.58367,0.47943,0.50056,0.37912,0.87512,1.04683,0.90962,0.00775,0.00775,0.00775
52,7184.52,1.00851,1.30472,0.9067,0.664,0.42746,0.50469,0.38339,0.88117,1.04118,0.91115,0.00766789,0.00766789,0.00766789
53,7338.2,0.99656,1.30625,0.9103,0.65279,0.45321,0.5067,0.38657,0.87928,1.03731,0.91034,0.00758483,0.00758483,0.00758483
54,7495.81,1.00333,1.30874,0.91165,0.61651,0.46529,0.513,0.38742,0.88239,1.0306,0.91126,0.00750086,0.00750086,0.00750086
