epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.7656,1.59319,5.9853,0.88009,0.56344,0.06138,0.03905,0.02544,1.19903,2.70359,0.84669,0.00332724,0.00332724,0.00332724
2,184.582,1.46877,4.16219,0.87412,0.58169,0.12323,0.08483,0.05551,1.17164,2.33905,0.85415,0.00659463,0.00659463,0.00659463
3,268.852,1.46788,3.74731,0.88095,0.47209,0.11757,0.08888,0.05919,1.19947,2.25803,0.87216,0.00979603,0.00979603,0.00979603
4,352.249,1.40328,3.13919,0.87815,0.54855,0.15425,0.13203,0.08826,1.10051,1.98738,0.85584,0.009703,0.009703,0.009703
5,437.877,1.32535,2.50696,0.86404,0.56344,0.20748,0.16787,0.12013,1.02906,1.79609,0.84968,0.009604,0.009604,0.009604
6,521.519,1.25886,2.14257,0.86104,0.56048,0.23034,0.20117,0.1444,1.05989,1.77983,0.85183,0.009505,0.009505,0.009505
7,605.289,1.22906,2.00514,0.85813,0.54668,0.26337,0.19942,0.1443,0.98109,1.6543,0.84276,0.009406,0.009406,0.009406
8,688.376,1.1997,1.88024,0.85204,0.58842,0.22569,0.22566,0.16421,0.95864,1.5489,0.83689,0.009307,0.009307,0.009307
9,782.93,1.16828,1.79414,0.84682,0.55599,0.25532,0.23947,0.17239,0.95931,1.54019,0.83452,0.009208,0.009208,0.009208
10,880.277,1.1538,1.74035,0.84246,0.56211,0.26462,0.25401,0.18838,0.92654,1.45822,0.83019,0.009109,0.009109,0.009109
11,986.636,1.13974,1.69505,0.8459,0.5743,0.26376,0.26026,0.19452,0.91856,1.43986,0.83194,0.00901,0.00901,0.00901
12,1089.65,1.1301,1.66163,0.8426,0.5478,0.31388,0.27944,0.20636,0.92008,1.42017,0.83027,0.008911,0.008911,0.008911
13,1204.11,1.11328,1.64219,0.83773,0.55316,0.27504,0.26687,0.19752,0.89811,1.34721,0.82467,0.008812,0.008812,0.008812
14,1305.71,1.09438,1.6033,0.83488,0.58497,0.28051,0.26936,0.19887,0.91659,1.3832,0.82745,0.008713,0.008713,0.008713
15,1405.49,1.09645,1.59073,0.83845,0.5806,0.28695,0.30062,0.22908,0.89922,1.36466,0.82745,0.008614,0.008614,0.008614
16,1521.33,1.08981,1.58179,0.83421,0.63402,0.26093,0.29214,0.22016,0.88515,1.32229,0.82464,0.008515,0.008515,0.008515
17,1635.57,1.07465,1.53885,0.83157,0.57686,0.2943,0.30552,0.22925,0.88966,1.28839,0.82559,0.008416,0.008416,0.008416
18,1741.13,1.09019,1.52657,0.83469,0.60734,0.29786,0.31766,0.23893,0.87709,1.27733,0.82345,0.008317,0.008317,0.008317
19,1826.47,1.06056,1.47541,0.83083,0.59341,0.31823,0.32609,0.24473,0.87402,1.22752,0.82484,0.008218,0.008218,0.008218
20,1914.07,1.05821,1.48915,0.82979,0.47761,0.36264,0.32857,0.24725,0.87107,1.25826,0.82178,0.008119,0.008119,0.008119
21,1999.7,1.05602,1.46235,0.8324,0.56234,0.33842,0.34818,0.26344,0.86311,1.22628,0.82026,0.00802,0.00802,0.00802
22,2084.77,1.05133,1.44021,0.82758,0.59967,0.32571,0.35308,0.26883,0.85888,1.23388,0.81913,0.007921,0.007921,0.007921
23,2170.06,1.02479,1.41002,0.8246,0.57003,0.32181,0.344,0.26027,0.85,1.18503,0.81603,0.007822,0.007822,0.007822
24,2253.85,1.03233,1.38971,0.82948,0.54116,0.38121,0.38329,0.28963,0.85435,1.16494,0.81885,0.007723,0.007723,0.007723
25,2336.35,1.02699,1.36086,0.82635,0.51269,0.37455,0.37096,0.28236,0.84366,1.15058,0.81491,0.007624,0.007624,0.007624
26,2418.8,1.02305,1.37228,0.8252,0.49565,0.39488,0.38129,0.2913,0.84245,1.12028,0.81346,0.007525,0.007525,0.007525
27,2501.75,1.02906,1.36992,0.82475,0.54778,0.37515,0.37881,0.28816,0.83932,1.13548,0.81641,0.007426,0.007426,0.007426
28,2588.33,1.00723,1.33965,0.82526,0.5662,0.35666,0.37325,0.28518,0.83355,1.14383,0.81693,0.007327,0.007327,0.007327
29,2673.07,1.01388,1.33025,0.82491,0.56758,0.35958,0.40813,0.31396,0.84195,1.12729,0.81506,0.007228,0.007228,0.007228
30,2758.02,1.00726,1.33158,0.8242,0.55185,0.40365,0.40486,0.30641,0.83109,1.07908,0.81403,0.007129,0.007129,0.007129
31,2843.25,0.99692,1.30198,0.82347,0.58398,0.41131,0.42623,0.32766,0.82436,1.07281,0.81308,0.00703,0.00703,0.00703
32,2927.56,0.99286,1.2883,0.82106,0.61306,0.37056,0.43201,0.32902,0.82214,1.06999,0.81319,0.006931,0.006931,0.006931
33,3010.96,1.005,1.30003,0.82296,0.5755,0.37678,0.40626,0.31186,0.82817,1.05342,0.81453,0.006832,0.006832,0.006832
34,3094.75,1.00502,1.27019,0.82324,0.6288,0.36511,0.44565,0.33579,0.82482,1.0382,0.81393,0.006733,0.006733,0.006733
35,3178.11,0.98799,1.26899,0.82107,0.63286,0.37508,0.43901,0.32811,0.81757,1.04384,0.81244,0.006634,0.006634,0.006634
36,3261.02,0.99113,1.24358,0.82119,0.5785,0.41911,0.44262,0.33559,0.82329,1.01246,0.81295,0.006535,0.006535,0.006535
37,3343.98,0.97933,1.2195,0.82228,0.58598,0.41507,0.4762,0.36404,0.8193,1.02351,0.81251,0.006436,0.006436,0.006436
38,3429.98,0.9793,1.21883,0.82032,0.64619,0.36984,0.46057,0.35454,0.80627,0.99923,0.81081,0.006337,0.006337,0.006337
39,3515.87,0.97469,1.20277,0.82122,0.59199,0.42452,0.47621,0.36989,0.80652,0.98642,0.81172,0.006238,0.006238,0.006238
40,3600.27,0.97255,1.19948,0.8184,0.5959,0.37433,0.47017,0.36258,0.80725,0.98463,0.81007,0.006139,0.006139,0.006139
41,3685.36,0.97443,1.20001,0.82075,0.63118,0.43666,0.48011,0.37113,0.80722,0.96318,0.81345,0.00604,0.00604,0.00604
42,3770.84,0.96212,1.17952,0.81911,0.62182,0.39788,0.48548,0.37171,0.8045,0.95994,0.80975,0.005941,0.005941,0.005941
43,3853.84,0.96122,1.17474,0.81825,0.58212,0.44652,0.49221,0.37759,0.80348,0.96456,0.81094,0.005842,0.005842,0.005842
44,3936.67,0.96729,1.17146,0.81806,0.53426,0.4567,0.46792,0.36323,0.80484,0.95007,0.80956,0.005743,0.005743,0.005743
45,4019.82,0.95906,1.16738,0.81922,0.5204,0.43998,0.48863,0.3742,0.80154,0.94493,0.80773,0.005644,0.005644,0.005644
46,4101.84,0.96745,1.15075,0.81897,0.61505,0.41791,0.49233,0.37476,0.79142,0.94661,0.80757,0.005545,0.005545,0.005545
47,4183.94,0.96658,1.13865,0.81885,0.61243,0.41688,0.48002,0.36602,0.7946,0.92751,0.80752,0.005446,0.005446,0.005446
48,4265.79,0.97033,1.13435,0.8212,0.53734,0.48896,0.49667,0.38175,0.7971,0.92535,0.80826,0.005347,0.005347,0.005347
49,4348.26,0.95499,1.11964,0.81746,0.59212,0.46234,0.52213,0.39857,0.79444,0.91235,0.80812,0.005248,0.005248,0.005248
50,4436.04,0.95404,1.10489,0.81659,0.62354,0.44589,0.50989,0.39725,0.78751,0.91,0.80623,0.005149,0.005149,0.005149
51,4556.87,0.95253,1.11036,0.81851,0.56728,0.46681,0.51032,0.39359,0.78637,0.90234,0.80624,0.00505,0.00505,0.00505
52,4676.66,0.93948,1.08678,0.81501,0.69089,0.42004,0.51167,0.39101,0.78876,0.89686,0.80693,0.004951,0.004951,0.004951
53,4790.91,0.94443,1.08787,0.81551,0.57602,0.47885,0.51339,0.39573,0.78878,0.88825,0.80641,0.004852,0.004852,0.004852
54,4903.52,0.93595,1.07315,0.81723,0.63375,0.45557,0.52542,0.40365,0.78064,0.88788,0.80674,0.004753,0.004753,0.004753
55,5016.08,0.93068,1.0558,0.81426,0.53684,0.50373,0.52114,0.40375,0.7828,0.88986,0.80881,0.004654,0.004654,0.004654
56,5128.29,0.9424,1.07026,0.81641,0.53502,0.4809,0.51644,0.39887,0.78206,0.87252,0.80745,0.004555,0.004555,0.004555
57,5241.26,0.93552,1.0623,0.81729,0.53398,0.50657,0.51597,0.39797,0.781,0.87653,0.80736,0.004456,0.004456,0.004456
58,5347.52,0.92837,1.04027,0.81476,0.61593,0.44741,0.52485,0.40187,0.77856,0.86647,0.80725,0.004357,0.004357,0.004357
59,5457.93,0.93187,1.0271,0.81333,0.62977,0.46386,0.54685,0.42189,0.77722,0.85006,0.80553,0.004258,0.004258,0.004258
60,5569.87,0.92537,1.02248,0.81461,0.63511,0.49501,0.54097,0.41241,0.77461,0.84394,0.80662,0.004159,0.004159,0.004159
61,5681,0.92669,1.02844,0.81472,0.69733,0.4505,0.54337,0.41579,0.77436,0.84619,0.80631,0.00406,0.00406,0.00406
62,5791.12,0.92515,0.9987,0.81654,0.61704,0.48957,0.54265,0.41245,0.77412,0.84724,0.80606,0.003961,0.003961,0.003961
63,5900.77,0.92404,1.00148,0.81251,0.61103,0.49399,0.54699,0.4188,0.77242,0.83398,0.80457,0.003862,0.003862,0.003862
64,6010.92,0.92001,0.97721,0.81342,0.58262,0.49496,0.54589,0.41959,0.7712,0.82913,0.80504,0.003763,0.003763,0.003763
65,6121.1,0.91553,0.97859,0.8125,0.56972,0.50732,0.5539,0.4296,0.76852,0.83507,0.80472,0.003664,0.003664,0.003664
66,6230.52,0.9157,0.9727,0.81341,0.63838,0.47699,0.56375,0.4364,0.76693,0.83414,0.80377,0.003565,0.003565,0.003565
67,6339.71,0.8984,0.97025,0.81162,0.59918,0.50332,0.54953,0.42442,0.76821,0.82662,0.80498,0.003466,0.003466,0.003466
68,6449.12,0.91613,0.96745,0.81294,0.57241,0.52099,0.55883,0.43212,0.76794,0.82708,0.80532,0.003367,0.003367,0.003367
69,6547.84,0.90705,0.9572,0.8141,0.56926,0.53172,0.56481,0.43367,0.76844,0.81726,0.80413,0.003268,0.003268,0.003268
