epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.702,1.37125,5.18737,0.88668,0.51888,0.15229,0.09362,0.06561,1.07449,2.24705,0.87057,0.0700595,0.00332672,0.00332672
2,256.387,1.28665,3.13458,0.88331,0.69086,0.23168,0.20184,0.13785,1.01883,1.89355,0.87254,0.0400589,0.0066594,0.0066594
3,380.613,1.27323,2.67843,0.89754,0.56952,0.27203,0.24067,0.16973,1.03364,1.67238,0.89507,0.0100556,0.00998944,0.00998944
4,504.643,1.24797,2.32617,0.89358,0.43243,0.38265,0.31411,0.2284,1.00752,1.47382,0.89251,0.00999112,0.00999112,0.00999112
5,629.064,1.18546,1.9857,0.88429,0.58614,0.34097,0.34387,0.25151,0.96621,1.44641,0.88567,0.00998422,0.00998422,0.00998422
6,754.016,1.14124,1.7438,0.87641,0.63326,0.3557,0.38297,0.2825,0.9673,1.32454,0.88336,0.00997535,0.00997535,0.00997535
7,879.18,1.10252,1.64035,0.86987,0.59216,0.36862,0.38359,0.27975,0.9438,1.27914,0.87895,0.00996452,0.00996452,0.00996452
8,1003.33,1.08253,1.53781,0.86791,0.59262,0.41875,0.41486,0.3101,0.92875,1.22799,0.87206,0.00995173,0.00995173,0.00995173
9,1128.64,1.07173,1.48783,0.86813,0.64124,0.40239,0.44499,0.33115,0.92239,1.17973,0.87255,0.00993698,0.00993698,0.00993698
10,1252.22,1.0638,1.43942,0.86644,0.57942,0.44618,0.48356,0.35652,0.91875,1.12379,0.87638,0.00992029,0.00992029,0.00992029
11,1375.57,1.04273,1.4029,0.85954,0.71393,0.39582,0.49916,0.37927,0.90637,1.05766,0.86364,0.00990166,0.00990166,0.00990166
12,1499.16,1.03925,1.35024,0.85981,0.60007,0.45167,0.50837,0.37804,0.89404,1.06024,0.8662,0.00988111,0.00988111,0.00988111
13,1625.38,1.02556,1.33604,0.85788,0.55166,0.49471,0.50952,0.37939,0.89294,1.01011,0.86439,0.00985862,0.00985862,0.00985862
14,1751.07,1.01125,1.29077,0.85878,0.58114,0.49303,0.50602,0.37347,0.88444,1.012,0.86186,0.00983423,0.00983423,0.00983423
15,1875.73,1.01089,1.27549,0.85579,0.5162,0.55286,0.52965,0.40062,0.88736,0.99547,0.86179,0.00980794,0.00980794,0.00980794
16,2000.45,0.99818,1.25669,0.85313,0.59161,0.52373,0.57493,0.43784,0.87593,0.97048,0.85914,0.00977975,0.00977975,0.00977975
17,2125.77,1.00124,1.22819,0.85467,0.53611,0.51363,0.53777,0.40729,0.89201,0.96646,0.8629,0.00974969,0.00974969,0.00974969
18,2250.89,0.99568,1.19559,0.85248,0.52807,0.57135,0.56649,0.43427,0.86628,0.90195,0.85659,0.00971777,0.00971777,0.00971777
19,2375.94,0.98785,1.1882,0.85169,0.58271,0.56633,0.57466,0.43618,0.86186,0.90577,0.8547,0.00968399,0.00968399,0.00968399
20,2500.4,0.98789,1.17304,0.84915,0.6347,0.53746,0.58599,0.448,0.85942,0.88211,0.85655,0.00964838,0.00964838,0.00964838
21,2625.23,0.98083,1.15531,0.8494,0.6124,0.57034,0.60546,0.4594,0.86829,0.88997,0.85694,0.00961095,0.00961095,0.00961095
