epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5578.86,0.88736,0.85469,0.8359,0.65613,0.69137,0.72967,0.56878,0.76041,0.66277,0.8312,0.005842,0.005842,0.005842
44,5708.9,0.88548,0.84701,0.82951,0.64387,0.70746,0.73513,0.56878,0.76038,0.66094,0.83043,0.005743,0.005743,0.005743
45,5839.99,0.88325,0.839,0.8356,0.67616,0.69978,0.73307,0.57108,0.75728,0.65798,0.83061,0.005644,0.005644,0.005644
46,5969.09,0.8812,0.82136,0.83451,0.72308,0.66778,0.74824,0.58002,0.75274,0.64883,0.83043,0.005545,0.005545,0.005545
47,6098.24,0.87639,0.82576,0.8328,0.75356,0.64641,0.75633,0.58749,0.75384,0.63524,0.82944,0.005446,0.005446,0.005446
48,6227.73,0.87509,0.81718,0.83133,0.68335,0.71242,0.75143,0.58198,0.75048,0.62821,0.82713,0.005347,0.005347,0.005347
49,6356.91,0.87175,0.80082,0.83401,0.78942,0.67239,0.76602,0.5972,0.74823,0.62478,0.82758,0.005248,0.005248,0.005248
50,6486.09,0.87931,0.80133,0.83103,0.77149,0.67104,0.76267,0.59352,0.75043,0.61903,0.82869,0.005149,0.005149,0.005149
51,6615.36,0.87206,0.79163,0.83084,0.76216,0.68556,0.76708,0.60072,0.74983,0.61656,0.82606,0.00505,0.00505,0.00505
52,6744.4,0.86328,0.78149,0.8304,0.74833,0.732,0.79447,0.6181,0.74699,0.60701,0.82647,0.004951,0.004951,0.004951
53,6873.7,0.86236,0.77928,0.83189,0.75878,0.70173,0.7789,0.60708,0.74541,0.59922,0.82707,0.004852,0.004852,0.004852
54,7002.92,0.86541,0.77228,0.83355,0.7172,0.73832,0.77614,0.60146,0.74682,0.59903,0.82831,0.004753,0.004753,0.004753
55,7131.92,0.86965,0.76548,0.83019,0.73439,0.72364,0.7832,0.60898,0.74872,0.60371,0.82808,0.004654,0.004654,0.004654
56,7261.12,0.86039,0.76232,0.8276,0.79387,0.69603,0.79294,0.61573,0.74456,0.59095,0.82706,0.004555,0.004555,0.004555
57,7390.35,0.85339,0.75174,0.83052,0.74808,0.73092,0.7911,0.61486,0.74658,0.59475,0.82731,0.004456,0.004456,0.004456
58,7519.69,0.85544,0.74495,0.82829,0.77408,0.71084,0.78382,0.61051,0.74274,0.5943,0.82572,0.004357,0.004357,0.004357
59,7648.78,0.84881,0.73967,0.8293,0.72045,0.75235,0.79745,0.62115,0.7432,0.57993,0.82667,0.004258,0.004258,0.004258
60,7777.71,0.85311,0.73471,0.82913,0.73107,0.72747,0.78705,0.61368,0.74547,0.57521,0.82595,0.004159,0.004159,0.004159
61,7906.93,0.84907,0.72975,0.82771,0.76887,0.69581,0.78539,0.61515,0.73884,0.57605,0.82518,0.00406,0.00406,0.00406
62,8036.08,0.849,0.72506,0.82734,0.71501,0.73658,0.78726,0.61242,0.74193,0.57211,0.82727,0.003961,0.003961,0.003961
63,8165.28,0.8451,0.71327,0.82764,0.77421,0.71386,0.79491,0.62084,0.7433,0.56736,0.82662,0.003862,0.003862,0.003862
64,8294.47,0.8454,0.71491,0.82723,0.82727,0.70857,0.80629,0.6279,0.73895,0.56102,0.82622,0.003763,0.003763,0.003763
65,8423.52,0.83115,0.70081,0.82528,0.76221,0.72293,0.79569,0.6222,0.74019,0.56765,0.82654,0.003664,0.003664,0.003664
66,8552.47,0.83653,0.6965,0.82594,0.71137,0.76689,0.80139,0.62739,0.73831,0.5659,0.82595,0.003565,0.003565,0.003565
67,8681.39,0.83369,0.69766,0.82756,0.80072,0.71296,0.80236,0.62675,0.73983,0.55946,0.82443,0.003466,0.003466,0.003466
68,8810.65,0.83318,0.6873,0.82407,0.76242,0.7396,0.79966,0.62486,0.73631,0.55829,0.82454,0.003367,0.003367,0.003367
69,8939.94,0.82872,0.67621,0.82609,0.73428,0.72948,0.79113,0.61624,0.73719,0.55825,0.82472,0.003268,0.003268,0.003268
70,9069.07,0.8316,0.67829,0.82564,0.75843,0.71173,0.79172,0.61829,0.73875,0.55826,0.82457,0.003169,0.003169,0.003169
71,9197.61,0.83607,0.6812,0.82343,0.76867,0.7201,0.79717,0.62186,0.73572,0.55462,0.82449,0.00307,0.00307,0.00307
72,9327.07,0.82869,0.66775,0.82484,0.82738,0.70631,0.803,0.62875,0.73461,0.55481,0.82493,0.002971,0.002971,0.002971
73,9456.33,0.82576,0.66199,0.82244,0.74079,0.75646,0.80573,0.6312,0.73477,0.55599,0.82478,0.002872,0.002872,0.002872
74,9585.64,0.82718,0.65533,0.82386,0.7994,0.71549,0.80416,0.63159,0.73389,0.55302,0.82444,0.002773,0.002773,0.002773
75,9715.02,0.82375,0.6541,0.82381,0.82608,0.71044,0.80338,0.62882,0.73386,0.55352,0.82429,0.002674,0.002674,0.002674
76,9844.15,0.81963,0.6464,0.82209,0.78891,0.73004,0.80458,0.62978,0.73378,0.55686,0.82396,0.002575,0.002575,0.002575
77,9973.6,0.82416,0.64004,0.82345,0.75671,0.76842,0.80345,0.63207,0.73283,0.55585,0.82357,0.002476,0.002476,0.002476
78,10102.8,0.81511,0.62962,0.82237,0.7874,0.74564,0.80662,0.63327,0.73372,0.55472,0.82328,0.002377,0.002377,0.002377
79,10232,0.80607,0.62637,0.82304,0.7993,0.72426,0.804,0.63256,0.73319,0.55481,0.82291,0.002278,0.002278,0.002278
80,10361.9,0.80532,0.61969,0.82251,0.77698,0.762,0.81247,0.6372,0.73355,0.55182,0.82265,0.002179,0.002179,0.002179
81,10490.5,0.80364,0.61407,0.82013,0.7852,0.76809,0.81577,0.63973,0.73289,0.55028,0.82276,0.00208,0.00208,0.00208
82,10618.8,0.80721,0.62557,0.82298,0.7804,0.75772,0.81522,0.63926,0.73205,0.54739,0.82262,0.001981,0.001981,0.001981
83,10747.2,0.80135,0.6112,0.82075,0.80061,0.74611,0.81734,0.64205,0.73147,0.54635,0.82256,0.001882,0.001882,0.001882
84,10875.6,0.79937,0.60501,0.82142,0.79877,0.74676,0.81874,0.64419,0.73169,0.54811,0.8227,0.001783,0.001783,0.001783
85,11007.7,0.80065,0.59503,0.81966,0.77875,0.76025,0.82222,0.64561,0.73201,0.54593,0.82241,0.001684,0.001684,0.001684
86,11141.6,0.79694,0.59588,0.81908,0.77988,0.7501,0.82125,0.64574,0.73197,0.54828,0.82234,0.001585,0.001585,0.001585
87,11271.2,0.79598,0.58484,0.81852,0.7931,0.74166,0.81511,0.63844,0.73058,0.54784,0.82231,0.001486,0.001486,0.001486
88,11400.7,0.79096,0.58844,0.81815,0.81185,0.72001,0.81279,0.63752,0.72935,0.54762,0.82222,0.001387,0.001387,0.001387
89,11529.9,0.79836,0.58352,0.82089,0.80668,0.71814,0.81041,0.636,0.72954,0.54429,0.82226,0.001288,0.001288,0.001288
90,11660.1,0.78444,0.57604,0.81888,0.7475,0.76715,0.81178,0.63898,0.73038,0.54294,0.8222,0.001189,0.001189,0.001189
91,11810.1,0.76883,0.5182,0.81847,0.77609,0.75292,0.81138,0.63802,0.7298,0.54305,0.82212,0.00109,0.00109,0.00109
92,11938.7,0.76606,0.5098,0.82137,0.78221,0.74869,0.81195,0.63762,0.73097,0.54306,0.82219,0.000991,0.000991,0.000991
93,12067.3,0.76119,0.5077,0.81738,0.78215,0.74828,0.81232,0.63795,0.73253,0.54247,0.82245,0.000892,0.000892,0.000892
94,12195.9,0.75836,0.50077,0.81754,0.78692,0.75167,0.81366,0.63966,0.73255,0.54357,0.82261,0.000793,0.000793,0.000793
95,12329.2,0.75565,0.49448,0.81748,0.77719,0.76345,0.81392,0.63932,0.73256,0.54466,0.82241,0.000694,0.000694,0.000694
96,12456.8,0.75192,0.48583,0.81859,0.76923,0.77348,0.81359,0.63811,0.7329,0.54532,0.82246,0.000595,0.000595,0.000595
